Instrument_Token,Symbol,Series,instrumenttype,issuedcapital,permittedtotrade,Price_Range,normalmarketstatus,normalmarketeligibility,oddlotmarketstatus,oddlotmarketeligibility,spotmarketstatus,spotmarketeligibility,auctionmarketstatus,auctionmarketeligibility,callauction1marketstatus,callauction1marketeligibility,callauction2marketstatus,callauction2marketeligibility,boardlotquantity,ticsize,Name,survind,issuestartdate,interestpaymentdate,maturitydate,freezepercent,listingdate,expulsiondate,readmissiondate,expirydate,recorddate,nodeliverystartdate,nodeliveryenddate,participantinmarketindex,aon,minimumfill,settlementtype,bookclosurestartdate,bookclosureenddate,dividend,rights,bonus,interest,agm,egm,marketmakerspread,marketmakerminquantity,ssec,remark,localupdatedatetime,deleteflag,Face_Value,ISIN,Is_Relevant_Series_EQ_BE_BZ,Avg_Traded_Value,Avg_Traded_Value_Lakhs,Avg_Traded_Volume,Avg_Close_Price,Days_Data_Available,Has_Complete_3Day_Data,Variance_Percent,Is_FO_Stock,FO_Category,Price_Band_Percent,Category
30524,PGEL,AF,0,2.84075658000000E+08,0,511.90-625.60,1,0,2,0,2,0,2,1,1,0,1,0,1,5,PG ELECTROPLAST LTD,0,1435449600,0,0,618,1435449600,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744372,N,100,INE457L01029,False,552079457.7166667,5520.794577166667,962542.6666666666,571.8833333333333,3,True,23.49,True,3x_variance,10.0,3x
4038,IFCI,AF,0,2.69431433100000E+09,0,50.58-61.83,1,0,2,0,2,0,2,0,1,0,1,0,1,1,IFCI LTD,0,1215907200,0,0,660,1215907200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744369,N,1000,INE039A01010,False,531896590.6133334,5318.965906133334,9158160.333333334,57.163333333333334,3,True,21.42,True,3x_variance,10.01,3x
4842,PCJEWELLER,AF,0,6.57537650000000E+09,0,10.85-13.26,1,0,2,0,2,0,2,0,1,0,1,0,1,1,PC JEWELLER LTD,0,1222473600,0,0,1261,1222473600,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744369,N,100,INE785M01021,False,511478113.02,5114.7811302,43046645.666666664,11.753333333333332,3,True,22.88,True,3x_variance,10.0,3x
14770,V2RETAIL,BE,0,3.45893410000000E+07,0,2329.10-2574.10,1,0,2,0,2,0,2,0,1,0,1,0,1,10,V2 RETAIL LIMITED,0,867974400,0,0,1179,867974400,0,0,1411257600,0,0,0,0,1,1,1,1411344000,1411862400,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE945H01013,True,506509188.2333333,5065.091882333333,204110.33333333334,2463.0666666666666,3,True,22.82,True,3x_variance,5.0,3x
8376,SMLISUZU,BE,0,1.44716460000000E+07,0,3096.40-3422.20,1,0,2,0,2,0,2,0,1,0,1,0,1,10,SML ISUZU LIMITED,0,646790400,0,0,2120,646790400,0,0,1436486400,1436486400,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 18 PER SH,1446744370,N,1000,INE294B01019,True,281655057.8333333,2816.5505783333333,87313.66666666667,3160.7333333333336,3,True,26.29,True,3x_variance,5.0,3x
4034,HCC,AF,0,1.81947616200000E+09,0,24.93-30.47,1,0,2,0,2,0,2,0,1,0,1,0,1,1,HINDUSTAN CONSTRUCTION CO,0,1215907200,0,0,1984,1215907200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744369,N,100,INE549A01026,False,224895196.14666668,2248.951961466667,7882800.0,28.26,3,True,24.74,True,3x_variance,10.0,3x
13894,HIRECT,BE,0,1.71838070000000E+07,0,1767.80-1953.80,1,0,2,0,2,0,2,0,1,0,1,0,1,10,HIND RECTIFIER LIMITED,0,851558400,0,0,3127,851558400,0,0,1437609600,1437609600,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 2 PER SH,1446744370,N,200,INE835D01023,True,108197813.0,1081.97813,58050.666666666664,1861.5333333333335,3,True,27.38,True,3x_variance,5.0,3x
759399,SOLEX,BE,0,1.08024890000000E+07,0,1665.50-1840.70,1,0,2,0,2,0,2,0,1,0,1,0,1,10,SOLEX ENERGY LIMITED,0,1444348800,0,0,5280,1444348800,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744372,N,1000,INE880Y01017,True,85814244.55,858.1424455,50563.0,1705.8333333333333,3,True,25.0,True,3x_variance,5.0,3x
11883,JSWHL,BE,0,1.10996250000000E+07,0,15905.00-17579.00,1,0,2,0,2,0,2,0,1,0,1,0,1,100,JSW HOLDINGS LIMITED,0,803779200,0,0,538,803779200,0,0,1403740800,0,0,0,0,1,1,1,1403827200,1404000000,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE824G01012,True,59630184.333333336,596.3018433333334,3566.0,16707.333333333332,3,True,21.99,True,3x_variance,5.0,3x
29490,NIBE,BE,0,1.45012730000000E+07,0,1128.10-1246.70,1,0,2,0,2,0,2,0,1,0,1,0,1,10,NIBE LIMITED,0,1423353600,0,0,5807,1423353600,0,0,1443052800,1443052800,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 1.25 PER SH,1446744372,N,1000,INE149O01018,True,35118061.63333333,351.1806163333333,29221.666666666668,1195.8666666666668,3,True,24.58,True,3x_variance,4.99,3x
756784,KRISHIVAL,BE,0,2.22951410000000E+07,0,465.70-514.70,1,0,2,0,2,0,2,0,1,0,1,0,1,5,KRISHIVAL FOODS LIMITED,0,1434844800,0,0,9149,1434844800,0,0,1442620800,1442620800,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RE 0.24 PER SH,1446744372,N,1000,INE0GGO01015,True,25482723.816666666,254.82723816666666,51207.333333333336,494.7833333333333,3,True,25.0,True,3x_variance,5.0,3x
8380,DISHTV,AF,0,1.84125605400000E+09,0,4.04-4.93,1,0,2,0,2,0,2,0,1,0,1,0,1,1,DISH TV INDIA LTD.,0,1233446400,0,0,12095,1233446400,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744370,N,100,INE836F01026,False,10970512.663333332,109.70512663333332,2462226.6666666665,4.443333333333334,3,True,21.23,True,3x_variance,9.92,3x
18021,VLEGOV,BE,0,1.08451329000000E+08,0,21.25-23.48,1,0,2,0,2,0,2,0,1,0,1,0,1,1,VL E GOV AND IT SOL LTD,0,1376438400,0,0,32700,1376438400,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446743602,N,1000,INE03HW01020,True,9397037.709999999,93.9703771,403644.3333333333,23.323333333333334,3,True,25.38,True,3x_variance,4.99,3x
7138,ZODIAC,BE,0,1.51236900000000E+07,0,360.40-398.30,1,0,2,0,2,0,2,0,1,0,1,0,1,5,ZODIAC ENERGY LIMITED,0,1323907200,0,0,17430,1323907200,0,0,1442102400,1442102400,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 0.75 PER SH,1446744370,N,1000,INE761Y01019,True,8422194.916666666,84.22194916666666,22545.0,369.05,3,True,22.72,True,3x_variance,5.0,3x
6501,IRIS,BE,0,2.05381170000000E+07,0,318.55-352.05,1,0,2,0,2,0,2,0,1,0,1,0,1,5,IRIS BUSINESS SERV LTD,0,1320796800,0,0,14521,1320796800,0,0,1407456000,0,0,0,0,1,1,1,1407542400,1408060800,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE864K01010,True,8386522.816666666,83.86522816666667,25674.333333333332,324.2166666666667,3,True,21.56,True,3x_variance,5.0,3x
11922,MSPL,BE,0,5.66796645000000E+08,0,31.63-34.96,1,0,2,0,2,0,2,0,1,0,1,0,1,1,MSP STEEL & POWER LTD.,0,806112000,0,0,5298,806112000,0,0,1252627200,0,0,0,0,1,1,1,1252800000,1253404800,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446747490,N,1000,INE752G01015,True,6654021.923333333,66.54021923333333,198280.0,33.44,3,True,22.88,True,3x_variance,5.0,3x
433,KHADIM,BE,0,1.83783820000000E+07,0,195.36-293.05,1,0,2,0,2,0,2,0,1,0,1,0,1,1,KHADIM INDIA LIMITED,0,1195084800,0,0,22280,1195084800,0,0,1433635200,1433721600,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,DEMERGER,1446744369,N,1000,INE834I01025,True,4979273.816666666,49.792738166666666,20119.0,248.50666666666666,3,True,21.69,True,3x_variance,20.0,3x
25629,UYFINCORP,BE,0,1.90238329000000E+08,0,11.88-17.82,1,0,2,0,2,0,2,0,1,0,1,0,1,1,U. Y. FINCORP LIMITED,0,1412380800,0,0,32700,1412380800,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446743609,N,500,INE152C01025,True,4978443.71,49.7844371,328598.3333333333,15.12,3,True,27.12,True,3x_variance,20.0,3x
12412,ZIMLAB,BE,0,4.87258140000000E+07,0,58.28-87.43,1,0,2,0,2,0,2,0,1,0,1,0,1,1,ZIM LABORATORIES LIMITED,0,1353801600,0,0,28167,1353801600,0,0,1403308800,0,0,0,0,1,1,1,1403395200,1403913600,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE518E01015,True,4977764.7700000005,49.7776477,67833.66666666667,73.08333333333333,3,True,24.34,True,3x_variance,20.01,3x
1619,FAIRCHEMOR,BE,0,1.30209020000000E+07,0,596.45-894.65,1,0,2,0,2,0,2,0,1,0,1,0,1,5,FAIRCHEM ORGANICS LIMITED,0,1293235200,0,0,10301,1293235200,0,0,1438732800,1438732800,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 7.50 PER SH,1446744369,N,1000,INE0DNW01011,True,4917643.483333333,49.17643483333333,6545.666666666667,750.4666666666667,3,True,21.62,True,3x_variance,20.0,3x
17991,TRF,BE,0,1.10044120000000E+07,0,264.15-396.15,1,0,2,0,2,0,2,0,1,0,1,0,1,5,TRF LIMITED,0,947376000,0,0,27524,947376000,0,0,0,0,0,0,0,1,1,1,1282089600,1282348800,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744371,N,1000,INE391D01019,True,4913367.316666666,49.13367316666666,15022.0,327.7833333333333,3,True,24.09,True,3x_variance,19.99,3x
15292,HERCULES,BE,0,3.20000000000000E+07,0,143.42-215.13,1,0,2,0,2,0,2,0,1,0,1,0,1,1,HERCULES HOI. LTD.,0,887846400,0,0,17430,887846400,0,0,1413072000,1413072000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,DEMERGER,1446744370,N,100,INE688E01024,True,4789268.13,47.8926813,26556.333333333332,179.1,3,True,25.43,True,3x_variance,20.0,3x
13439,LOKESHMACH,BE,0,1.99967700000000E+07,0,168.79-206.30,1,0,2,0,2,0,2,0,1,0,1,0,1,1,LOKESH MACHINES LTD,0,831254400,0,0,26663,831254400,0,0,1411257600,0,0,0,0,1,1,1,1411344000,1411862400,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE397H01017,True,4787407.513333333,47.87407513333333,25231.333333333332,188.4333333333333,3,True,26.31,True,3x_variance,10.0,3x
24269,ESTER,BE,0,9.75861910000000E+07,0,88.84-133.26,1,0,2,0,2,0,2,0,1,0,1,0,1,1,ESTER INDUSTRIES LTD,0,992995200,0,0,9227,992995200,0,0,1442707200,1442707200,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 0.60 PER SH,1446744371,N,500,INE778B01029,True,4781946.703333333,47.81946703333333,42777.0,111.22333333333331,3,True,23.67,True,3x_variance,20.0,3x
6980,DMCC,BE,0,2.49399330000000E+07,0,241.80-362.60,1,0,2,0,2,0,2,0,1,0,1,0,1,5,DMCC SPECIALITY CHEMICALS,0,1322784000,0,0,13268,1322784000,0,0,1440288000,1440288000,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 2.50 PER SH,1446744370,N,1000,INE505A01010,True,4772255.266666667,47.722552666666665,15745.333333333334,302.8333333333333,3,True,21.73,True,3x_variance,19.99,3x
22430,MAXIND,BE,0,5.22821150000000E+07,0,170.08-255.12,1,0,2,0,2,0,2,0,1,0,1,0,1,1,MAX INDIA LIMITED,0,1283040000,0,0,8996,1283040000,0,0,1430352000,1430352000,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,RIGHTS 19:100@PRM RS 140,1446744371,N,1000,INE0CG601016,True,4723364.656666666,47.233646566666664,22035.333333333332,213.41333333333333,3,True,20.36,True,3x_variance,20.0,3x
20764,RPPINFRA,BE,0,4.95859180000000E+07,0,93.78-140.67,1,0,2,0,2,0,2,0,1,0,1,0,1,1,R.P.P INFRA PROJECTS LTD.,0,976060800,0,0,17202,976060800,0,0,1443052800,1443052800,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RE 0.50 PER SH,1446744371,N,1000,INE324L01013,True,4709489.67,47.0948967,39621.0,118.66333333333334,3,True,25.1,True,3x_variance,20.0,3x
757941,BELLACASA,BE,0,1.33875000000000E+07,0,360.05-540.05,1,0,2,0,2,0,2,0,1,0,1,0,1,5,BELLA CASA FASH AND RET L,0,1437264000,0,0,16597,1437264000,0,0,1441756800,1441843200,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 2 PER SH,1446744372,N,1000,INE344T01014,True,4679414.95,46.7941495,10602.666666666666,438.8,3,True,25.71,True,3x_variance,20.0,3x
8947,RITCO,BE,0,2.86227570000000E+07,0,201.20-301.80,1,0,2,0,2,0,2,0,1,0,1,0,1,5,RITCO LOGISTICS LIMITED,0,1334188800,0,0,13891,1334188800,0,0,1411516800,0,0,0,0,1,1,1,1411603200,1412121600,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE01EG01016,True,4656576.566666666,46.565765666666664,18215.333333333332,254.26666666666665,3,True,20.47,True,3x_variance,20.0,3x
8706,INDSWFTLAB,BE,0,7.34868600000000E+07,0,81.28-121.93,1,0,2,0,2,0,2,0,1,0,1,0,1,1,IND SWIFT LABORATORIES LT,0,653875200,0,0,13392,653875200,0,0,1411603200,0,0,0,0,1,1,1,1411689600,1412121600,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE915B01019,True,4639657.996666667,46.39657996666667,45180.333333333336,102.17999999999999,3,True,23.6,True,3x_variance,20.0,3x
3595,MOKSH,BE,0,8.63226970000000E+07,0,11.44-17.16,1,0,2,0,2,0,2,0,1,0,1,0,1,1,MOKSH ORNAMENTS LIMITED,0,1306022400,0,0,32700,1306022400,0,0,1419120000,1419120000,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,RIGHTS 14:23 @PRM RS 13,1446743582,N,200,INE514Y01020,True,4633359.663333333,46.33359663333333,328106.0,14.15,3,True,23.02,True,3x_variance,20.0,3x
15304,VIRINCHI,BE,0,1.02646896000000E+08,0,27.03-29.88,6,1,2,0,2,0,2,0,1,0,1,0,1,1,VIRINCHI LIMITED,34,1367539200,0,0,32700,1367539200,0,0,1411516800,0,0,0,0,1,1,1,1411603200,1412121600,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446754983,N,1000,INE539B01017,True,4611452.54,46.1145254,163610.33333333334,28.206666666666667,3,True,100.0,True,no_category,5.01,3x
6042,EIFFL,BE,0,2.48000000000000E+07,0,184.37-276.56,1,0,2,0,2,0,2,0,1,0,1,0,1,1,EURO (I) FRESH FOODS LTD,0,1318464000,0,0,17495,1318464000,0,0,1411257600,0,0,0,0,1,1,1,1411344000,1411862400,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,1000,INE546V01010,True,4605084.213333334,46.05084213333334,20027.0,229.67666666666665,3,True,25.0,True,3x_variance,20.0,3x
8195,ORIENTPPR,BE,0,2.12185822000000E+08,0,20.28-30.42,1,0,2,0,2,0,2,0,1,0,1,0,1,1,ORIENT PAPER & INDS LTD.,0,644198400,0,0,18591,644198400,0,0,1406419200,0,0,0,0,1,1,1,1406505600,1407024000,1,0,0,0,0,0,0,0,1,AGM/DIV-RS 0.25 PER SH,1446744370,N,100,INE592A01026,True,4603893.53,46.038935300000006,179208.66666666666,25.566666666666666,3,True,20.36,True,3x_variance,20.0,3x
15638,AVG,BE,0,1.50577200000000E+07,0,176.36-264.55,1,0,2,0,2,0,2,0,1,0,1,0,1,1,AVG LOGISTICS LIMITED,0,1368316800,0,0,30123,1368316800,0,0,1443052800,1443052800,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 1.20 PER SH,1446744370,N,1000,INE680Z01018,True,4588090.71,45.8809071,20876.666666666668,218.94333333333336,3,True,22.12,True,3x_variance,20.0,3x
13836,DONEAR,BE,0,5.20000000000000E+07,0,80.52-120.78,1,0,2,0,2,0,2,0,1,0,1,0,1,1,DONEAR IND. LIMITED,0,851040000,0,0,19106,851040000,0,0,1442707200,1442793600,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 0.20 PER SH,1446744370,N,200,INE668D01028,True,4522473.62,45.2247362,45520.333333333336,99.61666666666667,3,True,22.0,True,3x_variance,20.0,3x
31479,ORBTEXP,BE,0,2.65111520000000E+07,0,177.62-266.43,1,0,2,0,2,0,2,0,1,0,1,0,1,1,ORBIT EXPORTS LIMITED,0,1068076800,0,0,16988,1068076800,0,0,1392249600,1392249600,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,BUY BACK,1446744372,N,1000,INE231G01010,True,4471078.426666667,44.710784266666664,20174.0,221.36666666666667,3,True,27.18,True,3x_variance,20.0,3x
8784,KABRAEXTRU,BE,0,3.49728360000000E+07,0,194.42-291.63,1,0,2,0,2,0,2,0,1,0,1,0,1,1,KABRAEXTRUSION,0,654480000,0,0,11765,654480000,0,0,1436486400,1436486400,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 2.50 PER SH,1446744370,N,500,INE900B01029,True,4461475.34,44.6147534,18318.0,243.82666666666668,3,True,21.54,True,3x_variance,20.0,3x
5617,GANESHBE,BE,0,7.19894210000000E+07,0,68.24-102.36,1,0,2,0,2,0,2,0,1,0,1,0,1,1,GANESH BENZOPLAST LIMITED,0,1316217600,0,0,16284,1316217600,0,0,1410998400,0,0,0,0,1,1,1,1411171200,1411689600,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446744370,N,100,INE388A01029,True,4359802.71,43.5980271,50458.0,86.44666666666667,3,True,20.26,True,3x_variance,20.0,3x
9294,GINNIFILA,BE,0,8.56500650000000E+07,0,42.23-46.68,6,1,2,0,2,0,2,0,1,0,1,0,1,1,GINNIFILAMENTS LTD.,34,660528000,0,0,26260,660528000,0,0,1410998400,0,0,0,0,1,1,1,1411171200,1411689600,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446754982,N,1000,INE424C01010,True,4298863.796666667,42.988637966666666,94825.0,45.156666666666666,3,True,100.0,True,no_category,5.01,3x
9802,TIL,BE,0,6.66020560000000E+07,0,268.40-328.00,1,0,2,0,2,0,2,0,1,0,1,0,1,5,TIL LTD,0,668995200,0,0,5035,668995200,0,0,1395532800,1395532800,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,RIGHTS 28:10@PRM RS 0/-,1446744370,N,1000,INE806C01018,True,4276136.083333333,42.76136083333333,14138.666666666666,301.15000000000003,3,True,22.77,True,3x_variance,9.99,3x
334,VALIANTORG,BE,0,2.75990490000000E+07,0,289.70-320.15,1,0,2,0,2,0,2,0,1,0,1,0,1,5,VALIANT ORGANICS LIMITED,0,1286323200,0,0,11881,1286323200,0,0,1360454400,1360454400,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,INTDIV - RE 1 PER SH,1446744369,N,1000,INE565V01010,True,4273007.466666667,42.73007466666667,14019.0,303.3833333333333,3,True,22.18,True,3x_variance,4.99,3x
6665,MIRZAINT,BE,0,1.38201900000000E+08,0,29.53-44.30,1,0,2,0,2,0,2,0,1,0,1,0,1,1,MIRZA INTERNATIONAL LIMIT,0,619401600,0,0,19598,619401600,0,0,1364515200,1364515200,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,DEMERGER,1446744370,N,200,INE771A01026,True,4225177.56,42.251775599999995,113654.66666666667,37.126666666666665,3,True,22.42,True,3x_variance,20.01,3x
3809,VINEETLAB,BE,0,9.21900800000000E+06,0,37.75-56.62,1,0,2,0,2,0,2,0,1,0,1,0,1,1,VINEET LABORATORIES LTD,13,1308182400,0,0,32700,1308182400,0,0,1410998400,0,0,0,0,1,1,1,1411171200,1411862400,0,0,0,0,0,0,0,0,1,ANNUAL GENERAL MEETING,1446743583,N,1000,INE505Y01010,True,4215602.753333333,42.15602753333333,89456.33333333333,46.82666666666666,3,True,100.0,True,no_category,20.0,3x
10353,CSLFINANCE,BE,0,2.27826210000000E+07,0,214.50-321.70,1,0,2,0,2,0,2,0,1,0,1,0,1,5,CSL FINANCE LIMITED,0,1342828800,0,0,16371,1342828800,0,0,1442102400,1442188800,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RS 3 PER SH,1446744370,N,1000,INE718F01018,True,4181867.916666666,41.81867916666666,15390.0,274.56666666666666,3,True,21.21,True,3x_variance,19.99,3x
16621,VAISHALI,BE,0,1.07192130000000E+08,0,8.00-12.00,1,0,2,0,2,0,2,0,1,0,1,0,1,1,VAISHALI PHARMA LIMITED,0,1263513600,0,0,32700,1263513600,0,0,1413417600,1413417600,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,BONUS 1:1,1446741378,N,200,INE972X01022,True,4170900.6766666663,41.70900676666666,415227.3333333333,10.013333333333334,3,True,23.3,True,3x_variance,20.0,3x
759179,TIGERLOGS,BE,0,1.05725000000000E+08,0,33.80-50.70,1,0,2,0,2,0,2,0,1,0,1,0,1,1,TIGER LOGISTICS (INDIA) L,0,1442620800,0,0,22386,1442620800,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744372,N,100,INE906O01029,True,4058220.936666667,40.58220936666667,95829.0,42.37,3,True,26.09,True,3x_variance,20.0,3x
